cluster,suggested_name,top_terms,artifact_count
"0,""Warriors, Swords, and Regalia"",""plaque, sword, leopards, warrior, bell, spear, heads, shield"",29"
"1,""Lamps, Bracelets, and Masks"",""leopard, bracelet, mask, heads, armlet, copper, inlaid, each"",8"
"2,""Heads, Staffs, and Crocodiles"",""heads, staff, crocodiles, masks, plaque, bracelet, mask, armlet"",22"
"3,""Heads, Swords, and Armlets"",""heads, sword, armlet, bell, plaque, crocodiles, chief, leopards"",30"
"4,""Swords, Bells, and Leopards"",""sword, bell, leopards, heads, trumpet, staff, cup, bracelet"",31"
"5,""Bracelets, Heads, and Horses"",""bracelet, heads, horse, plaque, bells, leopards, sistrum, bell"",26"
"6,""Bells, Vessels, and Heads"",""bell, vessel, heads, horse, cup, masks, spear, spears"",13"
"7,""Kings, Heads, and Ornaments"",""king, heads, sistrum, sword, staff, bell, leopard, plaques"",22"
"8,""Masks, Kings, and Heads"",""mask, king, heads, masks, boy, eyes, inlaid, over"",13"
"9,""Swords, Staffs, and Spears"",""sword, crocodiles, spear, swords, shield, whisk, trumpet, staff"",16"
"10,""Female Figures, Plaques, and Leopards"",""female, plaque, leopard, staff, leopards, mask, sword, heads"",29"
