artifact_id,main_image,detail_image,has_pair,cluster
fig_001,fig_001.jpg,fig_001h.jpg,True,0
fig_002,fig_002.jpg,fig_002h.jpg,True,10
fig_003,fig_003.jpg,fig_003h.jpg,True,0
fig_004,fig_004.jpg,fig_004h.jpg,True,0
fig_005,fig_005.jpg,fig_005h.jpg,True,0
fig_007,fig_007.jpg,fig_007h.jpg,True,0
fig_009,fig_009.jpg,fig_009h.jpg,True,0
fig_010,fig_010.jpg,fig_010h.jpg,True,0
fig_011,fig_011.jpg,fig_011h.jpg,True,0
fig_013,fig_013.jpg,fig_013h.jpg,True,0
fig_014,fig_014.jpg,fig_014h.jpg,True,0
fig_016,fig_016.jpg,fig_016h.jpg,True,0
fig_017,fig_017.jpg,fig_017h.jpg,True,0
fig_018,fig_018.jpg,fig_018h.jpg,True,10
fig_019,fig_019.jpg,fig_019h.jpg,True,7
fig_022,fig_022.jpg,fig_022h.jpg,True,7
fig_025,fig_025.jpg,fig_025h.jpg,True,8
fig_027,fig_027.jpg,fig_027h.jpg,True,3
fig_028,fig_028.jpg,fig_028h.jpg,True,7
fig_031,fig_031.jpg,fig_031h.jpg,True,10
fig_033,fig_033.jpg,,False,4
fig_034,fig_034.jpg,,False,6
fig_035,fig_035.jpg,fig_035h.jpg,True,10
fig_037,fig_037.jpg,,False,5
fig_038,fig_038.jpg,,False,5
fig_039,fig_039.jpg,fig_039h.jpg,True,1
fig_041,fig_041.jpg,fig_041h.jpg,True,10
fig_043,fig_043.jpg,fig_043h.jpg,True,10
fig_045,fig_045.jpg,fig_045h.jpg,True,6
fig_047,fig_047.jpg,fig_047h.jpg,True,2
fig_049,fig_049.jpg,,False,1
fig_051,fig_051.jpg,fig_051h.jpg,True,6
fig_053,fig_053.jpg,fig_053h.jpg,True,7
fig_056,fig_056.jpg,fig_056h.jpg,True,10
fig_058,fig_058.jpg,fig_058h.jpg,True,1
fig_060,fig_060.jpg,fig_060h.jpg,True,1
fig_062,fig_062.jpg,fig_062h.jpg,True,1
fig_064,fig_064.jpg,fig_064h.jpg,True,10
fig_066,fig_066.jpg,fig_066h.jpg,True,7
fig_073,fig_073.jpg,fig_073h.jpg,True,5
fig_076,fig_076.jpg,fig_076h.jpg,True,7
fig_079,fig_079.jpg,fig_079h.jpg,True,0
fig_082,fig_082.jpg,fig_082h.jpg,True,8
fig_084,fig_084.jpg,fig_084h.jpg,True,0
fig_086,fig_086.jpg,,False,8
fig_088,fig_088.jpg,fig_088h.jpg,True,8
fig_090,fig_090.jpg,fig_090h.jpg,True,10
fig_092,fig_092.jpg,fig_092h.jpg,True,10
fig_094,fig_094.jpg,fig_094h.jpg,True,8
fig_096,fig_096.jpg,fig_096h.jpg,True,10
fig_098,fig_098.jpg,fig_098h.jpg,True,8
fig_100,fig_100.jpg,fig_100h.jpg,True,10
fig_102,fig_102.jpg,fig_102h.jpg,True,3
fig_103,fig_103.jpg,fig_103h.jpg,True,9
fig_104,fig_104.jpg,fig_104h.jpg,True,9
fig_105,fig_105.jpg,,False,4
fig_106,fig_106.jpg,,False,4
fig_107,fig_107.jpg,,False,4
fig_108,fig_108.jpg,,False,2
fig_110,fig_110.jpg,fig_110h.jpg,True,9
fig_111,fig_111.jpg,fig_111h.jpg,True,10
fig_112,fig_112.jpg,fig_112h.jpg,True,3
fig_113,fig_113.jpg,fig_113h.jpg,True,0
fig_115,fig_115.jpg,,False,2
fig_116,fig_116.jpg,,False,5
fig_117,fig_117.jpg,,False,3
fig_118,fig_118.jpg,,False,5
fig_119,fig_119.jpg,fig_119h.jpg,True,10
fig_121,fig_121.jpg,fig_121h.jpg,True,5
fig_122,fig_122.jpg,fig_122h.jpg,True,3
fig_124,fig_124.jpg,,False,8
fig_126,fig_126.jpg,fig_126h.jpg,True,10
fig_128,fig_128.jpg,fig_128h.jpg,True,3
fig_129,fig_129.jpg,fig_129h.jpg,True,3
fig_130,fig_130.jpg,fig_130h.jpg,True,0
fig_131,fig_131.jpg,fig_131h.jpg,True,0
fig_132,fig_132.jpg,fig_132h.jpg,True,8
fig_134,fig_134.jpg,fig_134h.jpg,True,3
fig_135,fig_135.jpg,fig_135h.jpg,True,9
fig_137,fig_137.jpg,fig_137h.jpg,True,8
fig_139,fig_139.jpg,fig_139h.jpg,True,3
fig_140,fig_140.jpg,,False,3
fig_141,fig_141.jpg,fig_141h.jpg,True,3
fig_142,fig_142.jpg,,False,6
fig_143,fig_143.jpg,fig_143h.jpg,True,6
fig_145,fig_145.jpg,,False,10
fig_147,fig_147.jpg,,False,10
fig_149,fig_149.jpg,fig_149h.jpg,True,8
fig_151,fig_151.jpg,fig_151h.jpg,True,6
fig_153,fig_153.jpg,fig_153h.jpg,True,1
fig_155,fig_155.jpg,fig_155h.jpg,True,7
fig_158,fig_158.jpg,,False,2
fig_159,fig_159.jpg,,False,7
fig_161,fig_161.jpg,fig_161h.jpg,True,7
fig_164,fig_164.jpg,fig_164h.jpg,True,7
fig_166,fig_166.jpg,fig_166h.jpg,True,9
fig_167,fig_167.jpg,fig_167h.jpg,True,2
fig_169,fig_169.jpg,,False,5
fig_170,fig_170.jpg,,False,5
fig_171,fig_171.jpg,,False,5
fig_172,fig_172.jpg,,False,7
fig_174,fig_174.jpg,,False,7
fig_176,fig_176.jpg,fig_176h.jpg,True,2
fig_178,fig_178.jpg,fig_178h.jpg,True,9
fig_179,fig_179.jpg,fig_179h.jpg,True,0
fig_180,fig_180.jpg,fig_180h.jpg,True,0
fig_181,fig_181.jpg,fig_181h.jpg,True,0
fig_182,fig_182.jpg,fig_182h.jpg,True,3
fig_183,fig_183.jpg,fig_183h.jpg,True,5
fig_184,fig_184.jpg,fig_184h.jpg,True,5
fig_186,fig_186.jpg,,False,4
fig_188,fig_188.jpg,,False,4
fig_190,fig_190.jpg,fig_190h.jpg,True,7
fig_192,fig_192.jpg,fig_192h.jpg,True,7
fig_194,fig_194.jpg,fig_194h.jpg,True,7
fig_196,fig_196.jpg,fig_196h.jpg,True,7
fig_198,fig_198.jpg,fig_198h.jpg,True,4
fig_200,fig_200.jpg,,False,4
fig_201,fig_201.jpg,,False,4
fig_202,fig_202.jpg,fig_202h.jpg,True,4
fig_204,fig_204.jpg,fig_204h.jpg,True,7
fig_210,fig_210.jpg,fig_210h.jpg,True,4
fig_212,fig_212.jpg,fig_212h.jpg,True,7
fig_214,fig_214.jpg,,False,9
fig_215,fig_215.jpg,fig_215h.jpg,True,4
fig_217,fig_217.jpg,fig_217h.jpg,True,10
fig_219,fig_219.jpg,fig_219h.jpg,True,6
fig_222,fig_222.jpg,,False,5
fig_223,fig_223.jpg,,False,1
fig_225,fig_225.jpg,fig_225h.jpg,True,5
fig_227,fig_227.jpg,,False,2
fig_228,fig_228.jpg,,False,5
fig_229,fig_229.jpg,fig_229h.jpg,True,9
fig_230,fig_230.jpg,,False,2
fig_231,fig_231.jpg,fig_231h.jpg,True,2
fig_232,fig_232.jpg,fig_232h.jpg,True,10
fig_235,fig_235.jpg,fig_235h.jpg,True,10
fig_237,fig_237.jpg,fig_237h.jpg,True,3
fig_239,fig_239.jpg,,False,5
fig_240,fig_240.jpg,,False,3
fig_241,fig_241.jpg,,False,5
fig_242,fig_242.jpg,,False,2
fig_243,fig_243.jpg,,False,5
fig_244,fig_244.jpg,,False,5
fig_245,fig_245.jpg,,False,5
fig_246,fig_246.jpg,,False,5
fig_247,fig_247.jpg,fig_247h.jpg,True,0
fig_248,fig_248.jpg,fig_248h.jpg,True,0
fig_249,fig_249.jpg,fig_249h.jpg,True,6
fig_251,fig_251.jpg,fig_251h.jpg,True,4
fig_253,fig_253.jpg,,False,6
fig_254,fig_254.jpg,fig_254h.jpg,True,0
